Rk,Franchise,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G
1,Anaheim Ducks,48,30,12,5,1,66,.688,159,120,3.31,2.50
2,Boston Bruins,680,281,291,98,10,670,.493,2026,2012,2.98,2.96
3,Buffalo Sabres,222,84,109,18,11,197,.444,628,792,2.83,3.57
4,Carolina Hurricanes,127,49,60,11,7,116,.457,397,446,3.13,3.51
5,Columbus Blue Jackets,33,16,11,1,5,38,.576,104,99,3.15,3.00
6,Calgary Flames,149,68,63,12,6,154,.517,494,525,3.32,3.52
7,Chicago Blackhawks,655,291,265,96,3,681,.520,1971,1879,3.01,2.87
8,Cleveland Barons,62,38,15,9,0,85,.685,238,171,3.84,2.76
9,Colorado Avalanche,86,33,40,9,4,79,.459,285,315,3.31,3.66
10,Dallas Stars,220,99,92,28,1,227,.516,736,748,3.35,3.40
11,Detroit Red Wings,676,297,281,93,5,692,.512,1968,1916,2.91,2.83
12,Edmonton Oilers,115,60,44,8,3,131,.570,418,418,3.63,3.63
13,Florida Panthers,94,45,35,7,7,104,.553,281,288,2.99,3.06
14,Hamilton Tigers,46,29,17,0,0,58,.630,208,183,4.52,3.98
15,Los Angeles Kings,155,66,65,21,3,156,.503,512,515,3.30,3.32
16,Minnesota Wild,26,13,11,0,2,28,.538,67,59,2.58,2.27
17,Montreal Canadiens,761,309,346,88,18,724,.476,2120,2323,2.79,3.05
18,Montreal Maroons,92,43,43,6,0,92,.500,216,216,2.35,2.35
19,Montreal Wanderers,2,1,1,0,0,2,.500,10,10,5.00,5.00
20,New Jersey Devils,148,78,41,20,9,185,.625,493,435,3.33,2.94
21,Nashville Predators,28,13,13,1,1,28,.500,73,82,2.61,2.93
22,New York Americans,118,64,32,22,0,150,.636,379,244,3.21,2.07
23,New York Islanders,162,77,68,7,10,171,.528,526,560,3.25,3.46
24,New York Rangers,620,289,224,95,12,685,.552,1963,1796,3.17,2.90
25,Ottawa Senators,119,54,55,10,0,118,.496,347,375,2.92,3.15
26,Ottawa Senators,136,64,56,3,13,144,.529,408,413,3.00,3.04
27,Philadelphia Flyers,189,67,93,22,7,163,.431,532,649,2.81,3.43
28,Arizona Coyotes,104,39,54,8,3,89,.428,353,395,3.39,3.80
29,Pittsburgh Penguins,191,85,82,17,7,194,.508,657,676,3.44,3.54
30,Pittsburgh Pirates,26,13,10,3,0,29,.558,70,61,2.69,2.35
31,Seattle Kraken,2,2,0,0,0,4,1.000,12,6,6.00,3.00
32,San Jose Sharks,55,25,23,5,2,57,.518,165,157,3.00,2.85
33,St. Louis Blues,223,95,97,25,6,221,.496,710,720,3.18,3.23
34,Tampa Bay Lightning,104,58,37,2,7,125,.601,326,287,3.13,2.76
35,Vancouver Canucks,159,66,67,22,4,158,.497,539,528,3.39,3.32
36,Vegas Golden Knights,8,6,2,0,0,12,.750,28,21,3.50,2.63
37,Winnipeg Jets,75,41,24,1,9,92,.613,263,213,3.51,2.84
38,Washington Capitals,152,66,71,10,5,147,.484,510,522,3.36,3.43
